doc_index,char_lev,char_lev_norm,word_lev,word_lev_norm,token_ratio,jaccard
224,665,0.4118,142,0.5126,0.5424,0.4559
225,394,0.4442,85,0.528,0.5949,0.4957
226,270,0.2944,58,0.3816,0.6931,0.5504
227,764,0.5783,163,0.7443,0.3759,0.3757
228,864,0.5387,174,0.6641,0.4072,0.3147
229,506,0.4747,111,0.6491,0.4941,0.4196
230,681,0.5694,134,0.709,0.3448,0.2216
231,559,0.3729,115,0.4528,0.6345,0.5872
232,552,0.5227,119,0.6467,0.4566,0.3416
233,915,0.5392,189,0.6702,0.4244,0.3133
234,588,0.6462,123,0.8255,0.2737,0.2624
235,1380,0.6805,287,0.8567,0.1647,0.1987
236,1256,0.5251,258,0.6466,0.434,0.3643
237,427,0.4122,91,0.5056,0.6236,0.5227
238,322,0.2216,69,0.2828,0.7762,0.7059
